screen_name,name,statuses_count,followers_count,friends_count,listed_count,created_at,profile_image_url,location,url,description
PamMcConnell28,Pam McConnell,1085,2403,1453,100,Tue Jul 29 13:18:07 +0000 2014,https://pbs.twimg.com/profile_images/621767027078762496/FZCxl0Br.png,Toronto,http://t.co/z1GpFOnWgk,"Deputy Mayor, Toronto City Councillor Ward 28 #TOpoli for assistance please contact councillor_mcconnell@toronto.ca or 416-392-7916 //  posts from me & my team"
CouncillorGLL,Gloria Lindsay Luby,550,907,334,43,Mon Jan 13 22:20:07 +0000 2014,https://pbs.twimg.com/profile_images/453607917124452352/KMrHY_eK.jpeg,Etobicoke Centre ,,Former Toronto City Councillor.
CncllrChinLee,Chin Lee,408,875,222,64,Mon Jan 13 21:17:35 +0000 2014,https://pbs.twimg.com/profile_images/422842599175503872/F1DeT7DB.jpeg,"Toronto, Ontario, Canada",http://t.co/hiianXzYtP,Toronto City Councillor for Ward 41 - Scarborough Rouge River
ron_moeser,Ron Moeser,1634,1241,1020,65,Thu Jan 09 21:43:41 +0000 2014,https://pbs.twimg.com/profile_images/421407492740898816/_jHA6eog.jpeg,councillor_moeser@toronto.ca,https://t.co/Qdn8di9Nzv,"City of Toronto Councillor, Ward 44, Scarborough East 
https://t.co/G89vxHfpIt"
CouncillorLeon,Peter Leon,255,589,117,38,Tue Nov 05 18:11:24 +0000 2013,https://pbs.twimg.com/profile_images/378800000799158444/0c2b0bc9c20cf32bd9ec46a00118a73a.jpeg,Toronto,http://t.co/s8kMznYEms,"Official twitter page for Toronto City Councillor Peter Leon, Ward 3."
DougHolyday,Doug Holyday,401,1174,210,42,Thu Jul 04 13:54:59 +0000 2013,https://pbs.twimg.com/profile_images/463445180318642176/vQSHmQ33.jpeg,,http://t.co/ig2R3P067p,"#PCPO Candidate for Etobicoke-Lakeshore, former Mayor of Etobicoke and Deputy Mayor of #Toronto. Strong fiscal conservative. Saver of tax dollars."
JohnFilion23,John Filion,1407,2395,297,129,Tue Nov 20 15:55:45 +0000 2012,https://pbs.twimg.com/profile_images/658835271052587012/H3-kGl1E.jpg,"Willowdale, Toronto Ontario",,Author of The Only Average Guy• Toronto City Councillor - Ward 23 • Toronto Arts Advocate •
PerruzzaTO,Anthony Perruzza,883,2006,933,101,Thu Oct 18 14:58:58 +0000 2012,https://pbs.twimg.com/profile_images/506815721758654465/_mw8FlSV.jpeg,,http://t.co/HnImepP63B,"City of Toronto Councillor,       Ward 8.  http://t.co/EtzgJwAkcI  . 
Call me at: 416-338-5335"
GaryCrawfordArt,Gary Crawford Art,179,91,1,7,Wed Jul 04 11:15:32 +0000 2012,https://pbs.twimg.com/profile_images/2366595216/IMG00421-20120704-0718.jpg,Scarborough ON,http://t.co/V9Mq6NBHvM,Artist and passionate advocate for the arts and culture in Toronto.
rcho42,Cllr Raymond Cho,624,2590,158,144,Thu Mar 08 16:55:44 +0000 2012,https://pbs.twimg.com/profile_images/601451686981337088/Pj0iQtqT.png,Toronto,http://t.co/xqWwkeitxE,"Toronto City Councillor. Ward 42, Scarborough-Rouge River"
Thompson_37,Councillor Thompson,608,2427,236,93,Mon Dec 19 19:21:52 +0000 2011,https://pbs.twimg.com/profile_images/669293438131638272/ITupxHBW.jpg,City of Toronto,https://t.co/iE8ELEk5ng,"Michael Thompson is Chair of Toronto's Economic Development & Culture Committee,Councillor for Ward 37 Scarborough Centre"
EarlProvost,Earl Provost,3844,1427,1621,27,Sun Aug 14 20:01:24 +0000 2011,https://pbs.twimg.com/profile_images/497847190140624896/sOYIrBPz.jpeg,"Toronto, Ontario",,
